motor_time_fraction,motor_angle_deg,source16_aligned_small,source16_aligned_large,structured15_small,structured15_large,source16_aligned_dsmall_dt,source16_aligned_dlarge_dt,structured15_dsmall_dt,structured15_dlarge_dt,source16_aligned_ddsmall_dt2,source16_aligned_ddlarge_dt2,structured15_ddsmall_dt2,structured15_ddlarge_dt2
4.659722222222222321e-01,1.677500000000000000e+02,9.917400178905992902e-01,1.184951227602008411e-01,9.746606986608878920e-01,1.013165804666857905e-01,-1.563411740054159615e+00,-1.883038928302792403e+00,-2.158502395139731522e+00,-1.934579259673698592e+00,-1.591539101150341651e+02,8.626244589211323088e+00,-9.584156518768821797e+01,1.452586394783880763e+01
4.663194444444444531e-01,1.678750000000000000e+02,9.911875507926555251e-01,1.178418116124072268e-01,9.739054420676792612e-01,1.006457285986577244e-01,-1.618861358952471186e+00,-1.880028072238443260e+00,-2.191772856669593317e+00,-1.929523475537776367e+00,-1.602358947391959418e+02,8.716286341436088492e+00,-9.579447734073811205e+01,1.459540951992536506e+01
4.666666666666666741e-01,1.680000000000000000e+02,9.906157692959576266e-01,1.171895513286111690e-01,9.731386362879249630e-01,9.997663639833809235e-02,-1.674608093145133925e+00,-1.876985951676794162e+00,-2.225025081549649286e+00,-1.924443588727040133e+00,-1.603296558401666232e+02,8.806328093660850342e+00,-9.573653603105387333e+01,1.466469495158723291e+01
4.670138888888888951e-01,1.681250000000000000e+02,9.900246648357752255e-01,1.165383527645412892e-01,9.723602883063779956e-01,9.930931221898109396e-02,-1.730091339994541233e+00,-1.873912566617846664e+00,-2.258255315743783687e+00,-1.919339689988007303e+00,-1.592538460125715005e+02,8.896369845885558902e+00,-9.566782493606106641e+01,1.473371782373427763e+01
4.673611111111111160e-01,1.682500000000000000e+02,9.894143602109013447e-01,1.158882267759250295e-01,9.715704064062320455e-01,9.864376438218547261e-02,-1.785201041764957086e+00,-1.870807917061596992e+00,-2.291459834270538565e+00,-1.914211870907155832e+00,-1.581780361849756673e+02,8.986411598110324306e+00,-9.558842773318507113e+01,1.480247571727640121e+01
4.677083333333333370e-01,1.683750000000000000e+02,9.887849851244890909e-01,1.152391842184910808e-01,9.707690001590330020e-01,9.798000117760374827e-02,-1.839937198456345957e+00,-1.867672003008046699e+00,-2.324634941203118643e+00,-1.909060223910927778e+00,-1.571022263573798625e+02,9.076453350335087933e+00,-9.549842809985132419e+01,1.487096621312347722e+01
4.680555555555555580e-01,1.685000000000000000e+02,9.881366692796911266e-01,1.145912359479679954e-01,9.699560804145903603e-01,9.731803086264989577e-02,-1.894299810068675427e+00,-1.864504824457198451e+00,-2.357776969669389100e+00,-1.903884842265725741e+00,-1.560264165297846830e+02,9.166495102559796493e+00,-9.539790971348534754e+01,1.493918689218535967e+01
4.684027777777777790e-01,1.686250000000000000e+02,9.874695423796592264e-01,1.139443928200831735e-01,9.691316592908890692e-01,9.665786166220746711e-02,-1.948288876602011888e+00,-1.861306381409048250e+00,-2.390882281851881341e+00,-1.898685820077914199e+00,-1.549506067021888498e+02,9.256536854784561896e+00,-9.528695625151249260e+01,1.500713533537196831e+01
4.687500000000000000e-01,1.687500000000000000e+02,9.867837341275458307e-01,1.132986656905653616e-01,9.682957501640006015e-01,9.599950176833926818e-02,-2.001904398056321366e+00,-1.858076673863597428e+00,-2.423947268987780124e+00,-1.893463252293819510e+00,-1.538747968745930734e+02,9.346578607009323747e+00,-9.516565139135826712e+01,1.507480912359315717e+01
4.690972222222222210e-01,1.688750000000000000e+02,9.860793742265038242e-01,1.126540654151427373e-01,9.674483676579951341e-01,9.534295933999403783e-02,-2.055146374431605416e+00,-1.854815701820846208e+00,-2.456968351368939540e+00,-1.888217234699731906e+00,-1.527989870469972402e+02,9.436620359234089150e+00,-9.503407881044807937e+01,1.514220583775879803e+01
