time_s,cycle_progress_rad,S_pressure_Pa,S_temperature_K,L_pressure_Pa,L_temperature_K,H_i_pressure_Pa,H_i_temperature_K,H_o_pressure_Pa,H_o_temperature_K,S_to_H_i_mass_flow_kg_s,H_i_to_L_mass_flow_kg_s,L_to_H_o_mass_flow_kg_s,H_o_to_S_mass_flow_kg_s,H_i_heat_received_W,H_o_heat_received_W
3.070222213476719e-05,2.9228845698643322e-05,157385.21668145736,302.0791225281589,157472.4657691431,474.9991417846295,157415.56098282197,598.4676781244256,157456.32757859086,299.5226472154635,-0.00559007886014177,0.0,0.002562002364799268,0.006775790288075009,191.5402344468049,59.669098067061555
3.307991839756947e-05,3.1492438114808866e-05,157381.10064784045,302.08457270293457,157472.65488572925,474.999304770361,157411.01192654952,598.4634872919398,157455.24065319163,299.5230747760434,-0.005549957177658092,0.0,0.0026615345193112387,0.006918558815127248,192.06408850752155,59.615652994573054
3.545761466037176e-05,3.375603053097441e-05,157377.0445348876,302.0899951232698,157472.84267638178,474.9994666132292,157406.49955803345,598.4593382608751,157454.15991402202,299.52353921399407,-0.0055073719748685865,0.0,0.0027569198894901153,0.007055974327372875,192.58271739060717,59.55759825074125
3.8550662760034755e-05,3.670064558999829e-05,157371.84290963618,302.096994979715,157473.0850682932,474.9996755126784,157400.6872018698,598.4540064106233,157452.7624090207,299.52419587605465,-0.005449853262517553,0.0,0.002875542418740319,0.007227848282801779,193.2491986720919,59.475515493168984
4.164371085969775e-05,3.9645260649022166e-05,157366.7129157859,302.10392412419634,157473.32540900746,474.99988264412747,157394.9416494116,598.4487503516772,157451.373364626,299.52490893728867,-0.005391263178732751,0.0,0.0029887430872159323,0.00739295919177427,193.9062060403529,59.38638283891606
4.473675895936075e-05,4.2589875708046044e-05,157361.64453579398,302.11077616706274,157473.56378846112,475.0000880850916,157389.26351230362,598.4435707058216,157449.99179823062,299.52567556666446,-0.005332593530766114,0.0,0.0030971870388027544,0.007552137191234988,194.5536617723036,59.2905541669424
4.782980705902375e-05,4.553449076706992e-05,157356.63090267516,302.11754791391905,157473.80028592807,475.00029190389614,157383.65248648456,598.4384670999387,157448.61685848623,299.52649327556486,-0.005274482730778286,0.0,0.003201416944925385,0.007706002232550361,195.1916125076565,59.18834055439248
5.092285515868675e-05,4.84791058260938e-05,157351.66730843481,302.12423830858194,157474.03497195742,475.0004941613473,157378.10767169483,598.4334385134954,157447.24782445194,299.52735986810416,-0.005217325371556004,0.0,0.003301880761308159,0.007855030634951124,195.82018581307636,59.08001648698047
5.401590325834974e-05,5.142372088511768e-05,157346.7504199689,302.1308475904387,157474.26790984362,475.0006949119982,157372.62782829895,598.42848355787,157445.8841040683,299.52827340297097,-0.005161361957458112,0.0,0.003398951751528276,0.007999603552580852,196.43955526625234,58.96582462862909
5.710895135801274e-05,5.4368335944141556e-05,157341.87785799676,302.13737684899894,157474.49915681197,475.0008942051716,157367.21151088216,598.4236006216227,157444.525217546,299.5292321542649,-0.005106725791193454,0.0,0.003492944131859689,0.00814003392963019,197.04992229716822,58.845980716888846
6.0201999457675735e-05,5.7312951003165434e-05,157337.047893749,302.14382770439386,157474.72876495804,475.0010920857691,157361.85716364914,598.4187879742238,157443.17078197811,299.53023457926855,-0.005053477381597786,0.0,0.0035841248583156566,0.008276585328989118,197.6515032220192,58.72067759143107
6.360107747146601e-05,6.05489098320289e-05,157331.7876313651,302.1508286716159,157474.9792573376,475.0013079645547,157356.04262408084,598.4135781140744,157441.68711861272,299.53138491279316,-0.0049965771833280015,0.0,0.0036813557377423267,0.008422444183972658,198.3027357406968,58.5768859008553
6.70001554852563e-05,6.378486866089237e-05,157326.57588342766,302.15773998574036,157475.22788616756,475.00152223705766,157350.2988922175,598.4084486608515,157440.20817132492,299.5325846670514,-0.004941349996629302,0.0,0.0037757269314674913,0.008564158556107418,198.94391739356365,58.42691661857202
7.03992334990466e-05,6.702082748975584e-05,157321.41155770162,302.164564445681,157475.47470495902,475.0017349494,157344.62390166198,598.4033973198351,157438.73372082383,299.53383234943215,-0.004887749631190607,0.0,0.003867462172675058,0.008701963560439195,199.57533502061153,58.27095632098178
7.379831151283688e-05,7.02567863186193e-05,157316.29374842162,302.1713048460709,157475.7197630761,475.0019461441297,157339.0156497568,598.3984218668583,157437.26361618924,299.5351266100836,-0.004835713113904842,0.0,0.003956755133564319,0.00883606992308335,200.19726664271786,58.10917373955249
7.974786378934945e-05,7.59208240779343e-05,157307.44536847362,302.18290860495273,157476.14459748805,475.0023122721874,157329.35420041508,598.3898894190742,157434.70061368815,299.5375004632042,-0.004748190575037917,0.0,0.00410766714757163,0.009062468101502085,201.26382261572928,57.81244209947545
8.569741606586201e-05,8.15848618372493e-05,157298.7331200758,302.1942767555349,157476.56440073633,475.0026740636271,157319.88174384733,598.3815722694278,157432.15041758283,299.5400074076915,-0.004664874649186947,0.0,0.004252368447037433,0.00927903100548094,202.30346632152418,57.49907403856014
9.164696834237458e-05,8.724889959656429e-05,157290.15337639698,302.20542179785497,157476.97937297742,475.0030316909702,157310.58946090582,598.3734606030088,157429.6130631582,299.5426423089315,-0.004585410407727888,0.0,0.0043914807449496746,0.009486557924109032,203.31742462390423,57.169711383565414
9.759652061888714e-05,9.291293735587928e-05,157281.70261450994,302.21635506112534,157477.38969581737,475.0033853107497,157301.46928081225,598.3655454272867,157427.0887383428,299.54540058823153,-0.00450948113694704,0.0,0.004525519278844137,0.009685754366217795,204.30682158915658,56.824926471058745
0.00010354607289539972,9.857697511519428e-05,157273.3775434936,302.2270869507127,157477.7955344949,475.0037350653918,157292.51377260106,598.3578184538181,157424.57772756487,299.5482781368235,-0.004436786917262729,0.0,0.004654917233709071,0.00987724213384616,205.27269327273245,56.46523289706096
0.00011226326065132753,0.00010687583161899075,157261.4001642493,302.2424670632206,157478.3823781796,475.0042408102906,157279.6755677968,598.3468211219707,157420.92337968954,299.55270194939015,-0.0043355620604806485,0.0,0.004836885905412935,0.010145026098454473,206.64735975366,55.91225632623065
0.00012098044840725532,0.00011517468812278722,157249.67586575367,302.2574614303647,157478.96035146242,475.0047389093156,157267.15696171837,598.3361899073774,157417.29946810412,299.5573632729968,-0.004240019218846439,0.0,0.0050106465591658106,0.01039897203469205,207.97626157782645,55.329590875402346
