theta_deg,E_x,E_y,E_projected_velocity,E_projected_velocity_scaled_to_target,E_piecewise_model_scaled_to_target,target_velocity,target_piecewise_model,regime_core
3.25,2.035316930079851,-1.097444725318265,-0.7468949611006056,-0.3727731567189058,-0.4055957430783756,-0.23856444144742378,-0.29611586732103634,1
3.5,2.029826750150583,-1.1007899908332488,-0.7716389344970281,-0.38447464231975115,-0.41739275856245767,-0.25547400264302567,-0.3112655914696273,1
3.7499999999999996,2.0241990103204275,-1.104159434950228,-0.7967889604397788,-0.39636815116391,-0.42918977404653974,-0.2727260760819025,-0.32641531561821824,1
4.0,2.0184325295116015,-1.107551193602178,-0.8223409807687689,-0.40845176413754075,-0.44098678953062176,-0.2903135433206684,-0.34156503976680896,1
4.25,2.0125261856324452,-1.1109633187012276,-0.848290103381616,-0.42072316775344915,-0.45278380501470383,-0.30822878650404095,-0.3567147639153999,1
4.5,2.006478920115783,-1.1143937778095254,-0.8746305704876484,-0.43317963913832946,-0.4645808204987859,-0.3264637038282129,-0.37186448806399086,1
4.75,2.00028974255712,-1.1178404540111155,-0.9013557280442103,-0.44581803157911853,-0.476377835982868,-0.3450097250042244,-0.3870142122125818,1
5.0,1.9939577354422164,-1.1213011459981916,-0.928457996598906,-0.4586347607342213,-0.4881748514669501,-0.36385782672133443,-0.40216393636117276,1
5.25,1.9874820589523274,-1.1247735683849773,-0.9559288437685762,-0.4716257916187515,-0.49997186695103213,-0.3829985481103925,-0.4173136605097637,1
5.5,1.98086195583411,-1.1282553522622507,-0.9837587585916802,-0.48478662647571047,-0.5117688824351143,-0.4024220062072111,-0.43246338465835477,1
