motor_time_fraction,motor_angle_deg,source16_aligned_small,source16_aligned_large,hybrid_small,hybrid_large,source16_aligned_dsmall_dt,source16_aligned_dlarge_dt,hybrid_dsmall_dt,hybrid_dlarge_dt
5.517361111111110938e-01,1.986250000000000000e+02,5.803388436743164291e-01,7.997052381603671559e-03,7.817834968072847612e-01,3.011417648704384220e-03,-4.840109344235890454e+00,-5.532487767644216348e-01,-4.376536842192288113e+00,-4.957820431497175218e-01
5.520833333333333703e-01,1.987500000000000000e+02,5.786605641797035737e-01,7.806123541675234062e-03,7.802623225866152090e-01,2.842275503927793167e-03,-4.826775651020901670e+00,-5.465019619824759145e-01,-4.385407936527797368e+00,-4.785071100773761188e-01
5.524305555555555358e-01,1.988750000000000000e+02,5.769869195372921977e-01,7.617536699143633884e-03,7.787380876550060727e-01,2.679099519295680566e-03,-4.813412595565798924e+00,-5.397588717599162145e-01,-4.394166487580048575e+00,-4.614181546320805238e-01
5.527777777777778123e-01,1.990000000000000000e+02,5.753179199423018586e-01,7.431290560758761592e-03,7.772108311413374881e-01,2.521823875582639672e-03,-4.800020177870556459e+00,-5.330195060967296561e-01,-4.402812200548857469e+00,-4.445223402963554005e-01
5.531249999999999778e-01,1.991250000000000000e+02,5.736535755899557776e-01,7.247383833270917147e-03,7.756805922758247540e-01,2.370380266243587563e-03,-4.786598397935183158e+00,-5.262838649929204582e-01,-4.411344786550119856e+00,-4.278268305527438420e-01
5.534722222222222543e-01,1.992500000000000000e+02,5.719938966754770648e-01,7.065815223430471637e-03,7.741474103879611990e-01,2.224697897412419856e-03,-4.773147255759688790e+00,-5.195519484484929507e-01,-4.419763962615824937e+00,-4.113387888837585771e-01
5.538194444444444198e-01,1.993750000000000000e+02,5.703388933940861660e-01,6.886583437987393690e-03,7.726113249044690434e-01,2.084703487903238461e-03,-4.759666751344054703e+00,-5.128237564634388068e-01,-4.428069451694032210e+00,-3.950653787719634602e-01
5.541666666666666963e-01,1.995000000000000000e+02,5.686885759410061913e-01,6.709687183691977197e-03,7.710723753472388253e-01,1.950321269209688048e-03,-4.746156884688289779e+00,-5.060992890377621345e-01,-4.436260982648909668e+00,-3.790137636998712756e-01
5.545138888888888618e-01,1.996250000000000000e+02,5.670429545114605840e-01,6.535125167294595847e-03,7.695306013312800397e-01,1.821472985504946291e-03,-4.732617655792404676e+00,-4.993785461714671525e-01,-4.444338290260692048e+00,-3.631911071500249499e-01
5.548611111111111382e-01,1.997500000000000000e+02,5.654020393006684575e-01,6.362896095545146277e-03,7.679860425626646725e-01,1.698077893641958052e-03,-4.719049064656370085e+00,-4.926615278645410378e-01,-4.452301115225711925e+00,-3.476045726049498130e-01
5.552083333333333037e-01,1.998750000000000000e+02,5.637658405038562526e-01,6.192998675194271059e-03,7.664387388364746201e-01,1.580052763153428014e-03,-4.705451111280222420e+00,-4.859482341170007769e-01,-4.460149204156384606e+00,-3.322613235471965076e-01
5.555555555555555802e-01,2.000000000000000000e+02,5.621343683162429716e-01,6.025431612991856423e-03,7.648887300347440021e-01,1.467311876251597980e-03,-4.691823795663936814e+00,-4.792386649288338241e-01,-4.467882309581216127e+00,-3.171685234592767633e-01
5.559027777777777457e-01,2.001250000000000000e+02,5.605076329330520579e-01,5.860193615688148554e-03,7.633360561244106890e-01,1.359767027828474341e-03,-4.678167117807519482e+00,-4.725328203000445093e-01,-4.475500189944793483e+00,-3.023333358237379476e-01
5.562500000000000222e-01,2.002500000000000000e+02,5.588856445495068437e-01,5.697283390033571447e-03,7.617807571552567270e-01,1.257327525455597577e-03,-4.664481077710979307e+00,-4.658307002306366074e-01,-4.483002609607792621e+00,-2.877629241231116630e-01
5.565972222222222987e-01,2.003750000000000284e+02,5.572684133608264423e-01,5.536699642778033018e-03,7.602228732578564241e-01,1.159900189384388547e-03,-4.650765675374294084e+00,-4.591323047205980723e-01,-4.490389338846979328e+00,-2.734644518399290125e-01
5.569444444444444642e-01,2.005000000000000000e+02,5.556559495622371836e-01,5.378441080672103844e-03,7.586624446415236589e-01,1.067389352545910618e-03,-4.637020910797494011e+00,-4.524376337699452244e-01,-4.497660153855194132e+00,-2.594450824567339775e-01
5.572916666666667407e-01,2.006250000000000284e+02,5.540482633489582920e-01,5.222506410465672759e-03,7.570995115922536378e-01,9.796968605507714364e-04,-4.623246783980554220e+00,-4.457466873786657957e-01,-4.504814836741383388e+00,-2.457119794560478077e-01
5.576388888888889062e-01,2.007500000000000000e+02,5.524453649162132107e-01,5.068894338909183707e-03,7.555341144706724243e-01,8.967220716893378133e-04,-4.609443294923484480e+00,-4.390594655467634500e-01,-4.511853175530565530e+00,-2.322723063204094329e-01
5.579861111111111827e-01,2.008750000000000284e+02,5.508472644592249390e-01,4.917603572752800474e-03,7.539662937099812501e-01,8.183618569315160695e-04,-4.595610443626292785e+00,-4.323759682742430166e-01,-4.518774964163849717e+00,-2.191332265323527040e-01
5.583333333333333481e-01,2.010000000000000000e+02,5.492539721732140334e-01,4.768632818746622662e-03,7.523960898139028242e-01,7.445105999271946044e-04,-4.581748230088962259e+00,-4.256961955610959469e-01,-4.525580002498427845e+00,-2.063019035744115826e-01
5.586805555555556246e-01,2.011250000000000284e+02,5.476654982534032712e-01,4.621980783640883446e-03,7.508235433546260884e-01,6.750601970056953989e-04,-4.567856654311497344e+00,-4.190201474073247945e-01,-4.532268096307586092e+00,-1.937855009291198916e-01
5.590277777777777901e-01,2.012500000000000000e+02,5.460818528950167616e-01,4.477646174186090088e-03,7.492486949707536370e-01,6.099000571760934209e-04,-4.553935716293916691e+00,-4.123478238129381079e-01,-4.538839057280688039e+00,-1.815911820790158393e-01
5.593750000000000666e-01,2.013750000000000284e+02,5.445030462932727300e-01,4.335627697131934528e-03,7.476715853652444732e-01,5.489171021270112779e-04,-4.539985416036182997e+00,-4.056792247779177907e-01,-4.545292703023195990e+00,-1.697261105066223685e-01
